ticker,expiration,contractType,strike,bid,ask,volume,openInterest,impliedVolatility,spot_price,moneyness
BOTZ,2026-06-18,put,40.0,4.8,5.4,3.0,156.0,0.3437565625,35.255001068115234,1.1346
BOTZ,2026-09-18,call,25.0,9.3,12.6,2.0,16.0,0.7810080493164062,35.255001068115234,0.7091
BOTZ,2026-09-18,call,30.0,5.1,8.2,34.0,55.0,0.5954630297851562,35.255001068115234,0.8509
BOTZ,2026-09-18,call,33.0,3.8,4.9,20.0,34.0,0.4025938647460937,35.255001068115234,0.936
BOTZ,2026-09-18,call,34.0,2.25,3.8,20.0,117.0,0.3388737988281249,35.255001068115234,0.9644
BOTZ,2026-09-18,call,35.0,1.6,3.5,3.0,32.0,0.3596255444335937,35.255001068115234,0.9928
BOTZ,2026-09-18,call,36.0,2.05,2.6,1.0,64.0,0.3109199768066406,35.255001068115234,1.0211
BOTZ,2026-09-18,call,37.0,0.65,2.25,1.0,51.0,0.3156806713867187,35.255001068115234,1.0495
BOTZ,2026-09-18,call,38.0,0.85,1.75,10.0,64.0,0.2985909985351562,35.255001068115234,1.0779
BOTZ,2026-09-18,call,39.0,1.0,1.55,1.0,124.0,0.309577216796875,35.255001068115234,1.1062
BOTZ,2026-09-18,call,40.0,0.7,1.0,6.0,143.0,0.273444765625,35.255001068115234,1.1346
BOTZ,2026-09-18,call,42.0,0.45,0.65,2.0,70.0,0.2753978710937499,35.255001068115234,1.1913
BOTZ,2026-09-18,call,43.0,0.0,0.55,1.0,17.0,0.2812571874999999,35.255001068115234,1.2197
BOTZ,2026-09-18,call,45.0,0.1,0.6,2.0,37.0,0.3303289624023437,35.255001068115234,1.2764
BOTZ,2026-09-18,call,50.0,0.0,0.5,1.0,328.0,0.3989317919921875,35.255001068115234,1.4182
BOTZ,2026-09-18,put,30.0,0.2,0.9,3.0,26.0,0.3188544677734374,35.255001068115234,0.8509
BOTZ,2026-09-18,put,33.0,0.05,1.6,35.0,197.0,0.2824778784179687,35.255001068115234,0.936
BOTZ,2026-09-18,put,34.0,0.35,1.85,3502.0,3502.0,0.2624585473632813,35.255001068115234,0.9644
QQQ,2026-04-08,call,525.0,79.27,82.72,4.0,20.0,1.5195336523437497,607.140625,0.8647
QQQ,2026-04-08,call,535.0,69.29,72.82,2.0,36.0,1.3930694409179685,607.140625,0.8812
QQQ,2026-04-08,call,540.0,64.29,67.78,80.0,83.0,1.2939488427734374,607.140625,0.8894
QQQ,2026-04-08,call,545.0,59.33,62.78,10.0,16.0,1.2099648876953122,607.140625,0.8977
QQQ,2026-04-08,call,550.0,54.24,57.78,18.0,141.0,1.1259809326171877,607.140625,0.9059
QQQ,2026-04-08,call,551.0,53.33,56.79,6.0,40.0,1.1123091259765625,607.140625,0.9075
QQQ,2026-04-08,call,555.0,49.25,52.73,17.0,14.0,1.0253954980468751,607.140625,0.9141
QQQ,2026-04-08,call,558.0,46.33,49.74,4.0,15.0,0.97851583984375,607.140625,0.9191
QQQ,2026-04-08,call,559.0,45.27,48.79,78.0,118.0,0.9770510107421876,607.140625,0.9207
QQQ,2026-04-08,call,560.0,44.33,47.79,14.0,177.0,0.9599613378906248,607.140625,0.9224
QQQ,2026-04-08,call,561.0,43.18,46.8,1.0,37.0,0.9458013232421876,607.140625,0.924
QQQ,2026-04-08,call,562.0,42.18,45.8,10.0,146.0,0.928711650390625,607.140625,0.9257
QQQ,2026-04-08,call,563.0,41.26,44.76,4.0,136.0,0.9003916210937499,607.140625,0.9273
QQQ,2026-04-08,call,564.0,40.19,43.78,2.0,125.0,0.8891612646484374,607.140625,0.9289
QQQ,2026-04-08,call,565.0,39.55,42.83,16.0,288.0,0.885743330078125,607.140625,0.9306
QQQ,2026-04-08,call,566.0,39.52,41.79,8.0,40.0,0.8579115771484375,607.140625,0.9322
QQQ,2026-04-08,call,567.0,38.52,40.79,24.0,76.0,0.840821904296875,607.140625,0.9339
QQQ,2026-04-08,call,568.0,36.46,39.79,11.0,88.0,0.823243955078125,607.140625,0.9355
QQQ,2026-04-08,call,569.0,35.82,38.79,14.0,158.0,0.8061542822265625,607.140625,0.9372
QQQ,2026-04-08,call,570.0,34.51,37.83,104.0,419.0,0.7993184130859375,607.140625,0.9388
QQQ,2026-04-08,call,571.0,33.41,36.83,92.0,140.0,0.782228740234375,607.140625,0.9405
QQQ,2026-04-08,call,572.0,33.27,35.81,220.0,412.0,0.7597680273437502,607.140625,0.9421
QQQ,2026-04-08,call,573.0,32.27,34.83,88.0,137.0,0.747072841796875,607.140625,0.9438
QQQ,2026-04-08,call,574.0,30.59,33.8,238.0,309.0,0.7221707470703125,607.140625,0.9454
QQQ,2026-04-08,call,575.0,29.82,32.81,463.0,934.0,0.7070341796875,607.140625,0.9471
QQQ,2026-04-08,call,576.0,28.89,31.8,48.0,444.0,0.6875031250000001,607.140625,0.9487
QQQ,2026-04-08,call,577.0,28.2,30.25,82.0,650.0,0.48633326171875,607.140625,0.9504
QQQ,2026-04-08,call,578.0,27.23,29.84,83.0,682.0,0.6611362011718751,607.140625,0.952
